t_and_o_map  europe continent europa_regina 
prague  europe european_union demonym istanbul moscow paris london madrid demographics_of_europe western_europe warsaw_pact revolutions_of_1989 belarus vatican_city schengen_area czech_republic gibraltar lithuania monaco slovakia burial_mound corded_ware athens serbs holy_roman_empire kiev jerusalem ottoman_empire florence rome avignon polish%e2%80%93lithuanian_commonwealth copernicus kepler austro-hungarian_empire habsburg_empire archduke_franz_ferdinand_of_austria austria-hungary adolf_hitler munich_agreement sudetenland czechoslovakia hamburg second_polish_republic molotov%e2%80%93ribbentrop_pact berlin visegr%c3%a1d_group capital_city tirana andorra_la_vella yerevan vienna baku minsk brussels sarajevo sofia zagreb nicosia prague copenhagen tallinn tbilisi budapest reykjav%c3%adk dublin astana riga vaduz vilnius luxembourg_(city) skopje valletta chi%c8%99in%c4%83u podgorica amsterdam oslo warsaw lisbon bucharest belgrade bratislava ljubljana stockholm bern ankara capital_(political) pristina stepanakert tskhinvali tiraspol 
category_1_hurricane  extratropical_cyclone extratropical_transition_technique 
eastern_roman_empire  europe classical_antiquity russian_federation western_civilization migration_period ancient_history franks georgia_(country) greece italy russia serbia turkey aegean_sea roman_era christendom history_of_europe greeks ancient_rome parthenon galen roman_empire roman_law germanic_peoples early_middle_ages decline_of_the_roman_empire goths vandals huns slavs pechenegs charlemagne holy_roman_emperor sasanids kiev roman_catholic_church papacy slavic_peoples black_death pope rome orient turkish_republic southern_europe skopje 
austria-hungary  world_war_i europe russian_federation renaissance_exploration modern_era age_of_discovery winston_churchill federation phoenicia austria bosnia_and_herzegovina croatia czech_republic germany hungary italy san_marino liechtenstein montenegro romania russia serbia slovakia slovenia ukraine adriatic_sea history_of_europe danube phoenicians democracy historiography achaemenid_empire roman_empire augustus carolingian_empire magyars byzantine_empire croats serbs sasanids umayyad_caliphate umayyad frankish_empire holy_roman_empire south_slavs serbian_empire ottoman_empire golden_horde polish%e2%80%93lithuanian_commonwealth habsburg_dynasty modern_history napoleonic_empire balance_of_power_(international_relations) great_power austrian_empire revolutions_of_1848 austro-hungarian_empire ausgleich italian_unification eastern_question russian_empire habsburg_empire balkan_wars congress_of_berlin world_war_ii wilhelm_ii franz_joseph_i_of_austria archduke_franz_ferdinand_of_austria yugoslav_nationalism entente_powers central_powers austria-hungary german_empire russian_revolution treaty_of_versailles russian_civil_war the_great_war mussolini kingdom_of_italy ataturk adolf_hitler nazi_germany anschluss sudetenland czechoslovakia appeasement second_polish_republic empire_of_japan british_empire the_holocaust decolonisation politics_of_europe constitutional_monarchy vienna sarajevo budapest podgorica belgrade bratislava ljubljana 
minoan_civilization  europe mediterranean_sea classical_antiquity ancient_greece ancient_history greek_mythology ancient_greek athena greece aegean_sea anaximander herodotus roman_era ptolemy history_of_europe bronze_age mediterranean_coast minoan_civilization crete greeks ancient_rome parthenon athens athenian_democracy aristotle socrates plato thucydides homer sophocles euripides hippocrates pythagoras euclid archimedes greek_war_of_independence deforestation olive mediterranean octopuses 
greece  mediterranean_tropical-like_cyclone europe european_union demonym moscow paris london madrid continent mediterranean_sea black_sea asia russian_federation demographics_of_europe ancient_greece migration_period ancient_history americas western_europe world_war iron_curtain nato revolutions_of_1989 council_of_europe belarus kazakhstan vatican_city european_integration enlargement_of_the_european_union euro schengen_area ancient_greek athena anatolia list_of_transcontinental_countries transcontinental_country albania andorra austria azerbaijan belgium bosnia_and_herzegovina bulgaria croatia czech_republic denmark estonia finland france gibraltar germany georgia_(country) hungary iceland republic_of_ireland italy san_marino kosovo latvia liechtenstein lithuania luxembourg republic_of_macedonia malta moldova monaco montenegro netherlands norway poland portugal romania russia serbia slovakia slovenia spain sweden switzerland turkey ukraine united_kingdom armenia cyprus greenland aegean_sea north_america anaximander posidonius eastern_orthodox europa_regina arkhangelsk lascaux hominid vin%c4%8da_culture balkans near_east rhine mediterranean_coast burial_mound minoan_civilization crete greeks mediterranean_basin parthenon athens polis aristotle pythagoras archimedes city_states achaemenid_empire roman_republic germanic_peoples christianity early_middle_ages decline_of_the_roman_empire serbs asia_minor south_slavs kiev late_middle_ages parliament ottoman_empire pandemic list_of_epidemics rome avignon napoleonic_wars napoleonic_empire nation_state nation-states eastern_question greek_war_of_independence interwar_period world_war_ii treaty_of_versailles unfree_labour population_transfer_in_the_soviet_union fascism kingdom_of_italy ataturk turkish_republic saarland czechoslovakia allies_of_world_war_ii normandy_landings berlin world_war_ii_casualties superpower european_community european_parliament european_court_of_justice brexit geography_of_europe temperate_steppe plain southern_europe olive cupressus_sempervirens steppe neolithic european_brown_bear balkan european_bison cretan_dwarf_hippopotamus mediterranean regions_of_europe constitutional_monarchy eurozone area_and_population_of_european_countries list_of_countries_by_area list_of_countries_by_population list_of_countries_by_population_density capital_city tirana yerevan vienna brussels sofia zagreb nicosia prague copenhagen tallinn tbilisi budapest dublin riga vilnius luxembourg_(city) skopje valletta chi%c8%99in%c4%83u amsterdam warsaw lisbon bucharest belgrade bratislava ljubljana stockholm list_of_states_with_limited_recognition capital_(political) stepanakert northern_cyprus tiraspol akrotiri_and_dhekelia %c3%85land_islands %c3%85land 
euclid  perpendicular europe classical_antiquity ancient_greece ancient_greek aegean_sea anaximander herodotus posidonius ptolemy minoan_civilization crete parthenon athens rationalism athenian_democracy aristotle socrates plato thucydides homer sophocles euripides hippocrates pythagoras archimedes early_middle_ages school_of_athens copernicus 
list_of_urban_areas_in_europe  europe 
martin_luther  thunderstorm europe modern_era albania germany slovakia sweden eastern_orthodox history_of_europe christianity renaissance holy_roman_empire late_middle_ages roman_catholic_church crusades inquisition reconquista early_modern_period protestant_reformation monasticism medici western_schism martin_luther protestant thirty_years_war copernicus modern_history age_of_enlightenment adolf_hitler 
list_of_continents_by_population  europe asia world_population americas africa oceania monaco north_america geography_of_europe area_and_population_of_european_countries list_of_countries_by_population list_of_countries_by_population_density 
oceania  rain southern_hemisphere arctic_ocean ocean europe list_of_continents_by_population paris continent eastern_hemisphere atlantic_ocean mediterranean_sea eurasia borders_of_the_continents caspian_sea asia world_population western_civilization modern_era americas africa oceania western_europe maghreb anatolia list_of_transcontinental_countries boundaries_between_continents transcontinental_country france north_america christendom balkans near_east mediterranean_coast mediterranean_basin latin christianity slavs asia_minor caucasus slavic_peoples latin_language new_world modern_history decolonisation italian_peninsula baltica supercontinent columbia_(supercontinent) laurentia rodinia euramerica gondwana pangea laurasia southern_europe avalonia balkan mediterranean area_and_population_of_european_countries list_of_countries_by_area list_of_countries_by_population_density language 
serbian_campaign_of_world_war_i  world_war_i europe serbia balkan_wars central_powers the_great_war 
centralised_government  europe history_of_europe nation_state nation-states 
early_modern_period  europe classical_antiquity ancient_greece western_civilization middle_ages modern_era americas hungary italy turkey north_america roman_era christendom history_of_europe ancient_rome historiography galen ostrogoths vandals renaissance history_of_islam_in_southern_italy holy_roman_empire late_middle_ages medieval_demography maritime_republics ottoman_empire scientific_revolution protestant polish%e2%80%93lithuanian_commonwealth england modern_history french_revolution italian_unification greek_war_of_independence german_empire unfree_labour turkish_republic superpower flag 
surface_weather_analysis  european_windstorm extratropical_cyclone low-pressure_area cyclone thunderstorm synoptic_scale_meteorology weather_system dew_point weather_front depression_(weather) baroclinity weather_fronts barotropic cyclogenesis jetstream atmospheric_pressure warm_front occluded_front trowal temperature_gradient westerlies sea_surface_temperature cold_front pressure_gradient_force mean_sea_level_pressure norwegian_cyclone_model bergen_school_of_meteorology convection wind low_pressure_system trough_(meteorology) precipitation_(meteorology) thundersnow extratropical_transition_technique tropical_cyclogenesis kona_storm typhoon normandy_landings prevailing_westerlies 
1991_perfect_storm  tropical_cyclone hurricane storm extratropical_cyclone hurricane_sandy extratropical_transition_technique nor%27easter 
list_of_sovereign_states_and_dependent_territories_in_europe  europe russian_federation demographics_of_europe western_europe council_of_europe belarus kazakhstan vatican_city european_integration schengen_area albania andorra austria azerbaijan belgium bosnia_and_herzegovina bulgaria croatia czech_republic denmark estonia finland france germany georgia_(country) greece hungary iceland republic_of_ireland italy san_marino kosovo latvia liechtenstein lithuania luxembourg republic_of_macedonia malta moldova monaco montenegro netherlands norway portugal romania russia serbia slovakia slovenia spain sweden switzerland turkey ukraine united_kingdom armenia cyprus greenland history_of_europe balkans turkish_republic geography_of_europe geology_of_europe southern_europe balkan politics_of_europe regions_of_europe eurozone northern_cyprus akrotiri_and_dhekelia %c3%85land_islands %c3%85land 
